Línea;Liquidación;Transportista;Contrato;Remito;Servicio;Importe;Moneda
C-001;L-FICTICIA-01;FICTICIO-ALFA;A;00001;Flete;378;ARS
C-002;L-FICTICIA-01;FICTICIO-ALFA;A;00002;Flete;596;ARS
C-003;L-FICTICIA-01;FICTICIO-ALFA;A;00003;Flete;714;ARS
C-004;L-FICTICIA-01;FICTICIO-ALFA;A;00003;Demora;80;ARS
C-005;L-FICTICIA-01;FICTICIO-ALFA;A;00004;Flete;882;ARS
C-006;L-FICTICIA-01;FICTICIO-ALFA;A;00005;Flete;1050;ARS
C-007;L-FICTICIA-01;FICTICIO-ALFA;A;00006;Flete;1218;ARS
C-008;L-FICTICIA-01;FICTICIO-ALFA;A;00007;Concepto sin clasificar;432;ARS
C-009;L-FICTICIA-01;FICTICIO-ALFA;A;00008;Flete;1554;ARS
C-010;L-FICTICIA-01;FICTICIO-ALFA;A;00008;Flete;1554;ARS
C-011;L-FICTICIA-01;FICTICIO-ALFA;A;00009;Flete;100;ARS
C-012;L-FICTICIA-01;FICTICIO-ALFA;A;00009;Flete;1622;ARS
C-013;L-FICTICIA-01;FICTICIO-ALFA;A;00010;Flete;1890;ARS
C-014;L-FICTICIA-01;FICTICIO-ALFA;A;00010;Demora;80;ARS
C-015;L-FICTICIA-01;FICTICIO-ALFA;A;00011;Flete;2058;ARS
C-016;L-FICTICIA-01;FICTICIO-ALFA;A;00013;Flete;2633,4;ARS
C-017;L-FICTICIA-01;FICTICIO-ALFA;A;00014;Flete;2562;ARS
C-018;L-FICTICIA-01;FICTICIO-ALFA;A;00015;Flete;2730;ARS
C-019;L-FICTICIA-01;FICTICIO-ALFA;A;00016;Flete;2898;ARS
C-020;L-FICTICIA-01;FICTICIO-BETA;B;00017;Flete;900;ARS
C-021;L-FICTICIA-01;FICTICIO-BETA;B;00018;Flete;1625;ARS
C-022;L-FICTICIA-01;FICTICIO-BETA;B;00019;Flete;900;ARS
C-023;L-FICTICIA-01;FICTICIO-BETA;B;00020;Flete;1100;ARS
C-024;L-FICTICIA-01;FICTICIO-BETA;B;00021;Flete;1500;ARS
C-025;L-FICTICIA-01;FICTICIO-BETA;B;00022;Flete;1100;ARS
C-026;L-FICTICIA-01;FICTICIO-BETA;B;00023;Flete;900;ARS
C-027;L-FICTICIA-01;FICTICIO-BETA;B;00024;Flete;1700;ARS
C-028;L-FICTICIA-01;FICTICIO-GAMMA;C;00025;Flete;1000;ARS
C-029;L-FICTICIA-01;FICTICIO-GAMMA;C;00025;Pallet;60;ARS
C-030;L-FICTICIA-01;FICTICIO-GAMMA;C;00025;Especial;120;ARS
C-031;L-FICTICIA-01;FICTICIO-GAMMA;C;00026;Flete;1000;ARS
C-032;L-FICTICIA-01;FICTICIO-GAMMA;C;00026;Pallet;90;ARS
C-033;L-FICTICIA-01;FICTICIO-GAMMA;C;00026;Especial;120;ARS
C-034;L-FICTICIA-01;FICTICIO-GAMMA;C;00027;Flete;1000;ARS
C-035;L-FICTICIA-01;FICTICIO-GAMMA;C;00027;Pallet;120;ARS
C-036;L-FICTICIA-01;FICTICIO-GAMMA;C;00028;Flete;1000;ARS
C-037;L-FICTICIA-01;FICTICIO-GAMMA;C;00028;Pallet;30;ARS
C-038;L-FICTICIA-01;FICTICIO-GAMMA;C;00029;Flete;1000;ARS
C-039;L-FICTICIA-01;FICTICIO-GAMMA;C;00029;Pallet;60;ARS
C-040;L-FICTICIA-01;FICTICIO-GAMMA;C;00030;Flete;1000;ARS
C-041;L-FICTICIA-01;FICTICIO-GAMMA;C;00030;Pallet;90;ARS
C-042;L-FICTICIA-01;FICTICIO-GAMMA;C;00031;Flete;1000;ARS
C-043;L-FICTICIA-01;FICTICIO-GAMMA;C;00031;Pallet;120;ARS
C-044;L-FICTICIA-01;FICTICIO-GAMMA;C;00032;Flete;1000;ARS
C-045;L-FICTICIA-01;FICTICIO-GAMMA;C;00032;Pallet;30;ARS
C-046;L-FICTICIA-01;FICTICIO-ALFA;A;INEXISTENTE;Flete;123;ARS
