id;reference;carrier;agreement;settlement;concept;amount;currency
C10B;REM-010B;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
C10A;REM-010A;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
C8B;REM-008;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
C8A;REM-008;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
C7;REM-UNKNOWN;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
C6;REM-006;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
C5;REM-005;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
C4;REM-004;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
C3;REM-003;EXPRESS;AGR-ADV;LIQ-001;ESPECIAL;100,00;ARS
C2;REM-002;EXPRESS;AGR-ADV;LIQ-001;FLETE;50,00;USD
C1;REM-001;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
C_FAIL;REM-FAIL;EXPRESS;AGR-ADV;LIQ-001;FLETE;120,00;ARS
C_PASS;REM-PASS;EXPRESS;AGR-ADV;LIQ-001;FLETE;100,00;ARS
